dataset_id,dataset_name,role,priority,file_path,file_name,extension,size_bytes,is_supported_table,row_count,column_count,read_status,error_message
synnetqos,SynNetQoS dataset,main_warehouse_and_mining_dataset,mandatory,data/raw/synnetqos/synnetqos-dataset.csv,synnetqos-dataset.csv,.csv,23913799,True,50000.0,67.0,ok,
vienna_4g5g,Vienna 4G/5G Drive-Test Dataset,external_measurement_reference,high_external_value,data/raw/vienna_4g5g/Vienna-full-4G-5G-dataset-v1.0.3/.gitattributes,.gitattributes,,277,False,,,not_table,
vienna_4g5g,Vienna 4G/5G Drive-Test Dataset,external_measurement_reference,high_external_value,data/raw/vienna_4g5g/Vienna-full-4G-5G-dataset-v1.0.3/LICENSE,LICENSE,,900,False,,,not_table,
vienna_4g5g,Vienna 4G/5G Drive-Test Dataset,external_measurement_reference,high_external_value,data/raw/vienna_4g5g/Vienna-full-4G-5G-dataset-v1.0.3/README.md,README.md,.md,1638,False,,,not_table,
vienna_4g5g,Vienna 4G/5G Drive-Test Dataset,external_measurement_reference,high_external_value,data/raw/vienna_4g5g/Vienna-full-4G-5G-dataset-v1.0.3/estimated_cell_info/README.md,README.md,.md,3059,False,,,not_table,
vienna_4g5g,Vienna 4G/5G Drive-Test Dataset,external_measurement_reference,high_external_value,data/raw/vienna_4g5g/Vienna-full-4G-5G-dataset-v1.0.3/estimated_cell_info/cell_info_final_5g.parquet,cell_info_final_5g.parquet,.parquet,8123,True,35.0,10.0,ok,
vienna_4g5g,Vienna 4G/5G Drive-Test Dataset,external_measurement_reference,high_external_value,data/raw/vienna_4g5g/Vienna-full-4G-5G-dataset-v1.0.3/estimated_cell_info/cell_info_final_lte.parquet,cell_info_final_lte.parquet,.parquet,32068,True,1597.0,11.0,ok,
vienna_4g5g,Vienna 4G/5G Drive-Test Dataset,external_measurement_reference,high_external_value,data/raw/vienna_4g5g/Vienna-full-4G-5G-dataset-v1.0.3/phone/README.md,README.md,.md,2156,False,,,not_table,
vienna_4g5g,Vienna 4G/5G Drive-Test Dataset,external_measurement_reference,high_external_value,data/raw/vienna_4g5g/Vienna-full-4G-5G-dataset-v1.0.3/phone/phone_data_5g.parquet,phone_data_5g.parquet,.parquet,7711571,True,684218.0,20.0,ok,
vienna_4g5g,Vienna 4G/5G Drive-Test Dataset,external_measurement_reference,high_external_value,data/raw/vienna_4g5g/Vienna-full-4G-5G-dataset-v1.0.3/phone/phone_data_lte.parquet,phone_data_lte.parquet,.parquet,32071403,True,1183683.0,19.0,ok,
vienna_4g5g,Vienna 4G/5G Drive-Test Dataset,external_measurement_reference,high_external_value,data/raw/vienna_4g5g/Vienna-full-4G-5G-dataset-v1.0.3/scanner/.gitkeep,.gitkeep,,0,False,,,not_table,
vienna_4g5g,Vienna 4G/5G Drive-Test Dataset,external_measurement_reference,high_external_value,data/raw/vienna_4g5g/Vienna-full-4G-5G-dataset-v1.0.3/scanner/README.md,README.md,.md,2565,False,,,not_table,
vienna_4g5g,Vienna 4G/5G Drive-Test Dataset,external_measurement_reference,high_external_value,data/raw/vienna_4g5g/Vienna-full-4G-5G-dataset-v1.0.3/scanner/scanner_data_5g.parquet,scanner_data_5g.parquet,.parquet,15778256,True,1497520.0,18.0,ok,
vienna_4g5g,Vienna 4G/5G Drive-Test Dataset,external_measurement_reference,high_external_value,data/raw/vienna_4g5g/Vienna-full-4G-5G-dataset-v1.0.3/scanner/scanner_data_lte.parquet,scanner_data_lte.parquet,.parquet,10942065,True,529724.0,15.0,ok,
campus_qos,5G Campus Network QoS Dataset,external_measurement_reference,medium_external_value,data/raw/campus_qos/README.txt,README.txt,.txt,2770,False,,,not_table,
campus_qos,5G Campus Network QoS Dataset,external_measurement_reference,medium_external_value,data/raw/campus_qos/ntnu_tput_all_Throughput.csv,ntnu_tput_all_Throughput.csv,.csv,26971,True,142.0,16.0,ok,
campus_qos,5G Campus Network QoS Dataset,external_measurement_reference,medium_external_value,data/raw/campus_qos/wue_tput_all_Throughput.csv,wue_tput_all_Throughput.csv,.csv,29260,True,160.0,16.0,ok,
